member_no,lastname,firstname,middleinitial,street,city,state_prov,country,mail_code,phone_no,issue_dt,expr_dt,corp_no,prev_balance,curr_balance,member_code
15,OLPHANT,YWR, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.843,2000-12-10 10:41:32.843,258,0.00,0.00,  
16,PAYNTER,FMPT, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.843,2000-12-10 10:41:32.843,NULL,0.00,0.00,  
17,QUINT,RYGRTFIGVXLH, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.843,2000-12-10 10:41:32.843,NULL,0.00,0.00,  
18,RYAN,WESRG, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.853,2000-12-10 10:41:32.853,411,0.00,0.00,  
19,STEIN,IPLFLTVUARQIWQ, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.853,2000-12-10 10:41:32.853,NULL,0.00,0.00,  
20,TOLSKY,IVUNURTBYPQFDY, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.863,2000-12-10 10:41:32.863,NULL,0.00,0.00,  
21,UNAKLET,ITWRRHGJ, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.863,2000-12-10 10:41:32.863,277,0.00,0.00,  
22,VANN,CRRY, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.873,2000-12-10 10:41:32.873,NULL,0.00,0.00,  
23,WOLFMULE,INXDMRKBLC, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.873,2000-12-10 10:41:32.873,NULL,0.00,0.00,  
24,XAVIER,PNLXXDRQ, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.883,2000-12-10 10:41:32.883,NULL,0.00,0.00,  
25,YEONG,NXU, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.883,2000-12-10 10:41:32.883,NULL,0.00,0.00,  
26,ZUCKER,QTSKRCCLSFWAPF, , , ,  ,  ,          ,             ,1999-10-13 10:41:32.883,2000-12-10 10:41:32.883,NULL,0.00,0.00,  
27,ANDERSON,KIZMTUCNREYOHN, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.193,2000-12-10 10:41:33.193,349,0.00,0.00,  
28,BARR,EDXMFNFHOPJD, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.203,2000-12-10 10:41:33.203,NULL,0.00,0.00,  
29,CHEN,HLWKRPNTJTDOQJ, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.203,2000-12-10 10:41:33.203,NULL,0.00,0.00,  
30,DORR,KNIUQHHDOQTTRX, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.213,2000-12-10 10:41:33.213,304,0.00,0.00,  
31,EFLIN,PLNCZWLOSPYEKZ, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.213,2000-12-10 10:41:33.213,NULL,0.00,0.00,  
32,FLORINI,GQNCMXEGBTZTJW, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.223,2000-12-10 10:41:33.223,NULL,0.00,0.00,  
33,GOHAN,HYVDYEKKR, , , ,  ,  ,          , ,1999-10-13 10:41:33.223,2000-12-10 10:41:33.223,NULL,0.00,0.00,  
34,HAHN,QTVDSVUEHEP, , , ,  ,  ,          , ,1999-10-13 10:41:33.233,2000-12-10 10:41:33.233,NULL,0.00,0.00,  
35,INFANTE,KJOUWKXSLUXS, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.233,2000-12-10 10:41:33.233,478,0.00,0.00,  
36,JONES,KCAIUADOCXJNM, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.233,2000-12-10 10:41:33.243,NULL,0.00,0.00,  
37,KAHRMANN,UHCIKKXBQAXIMN, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.243,2000-12-10 10:41:33.243,453,0.00,0.00,  
38,LING,JSSSNYXFTVDXVM, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.253,2000-12-10 10:41:33.253,NULL,0.00,0.00,  
39,MAKAI,FJWLSPEDKOP, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.253,2000-12-10 10:41:33.253,NULL,0.00,0.00,  
40,NELSON,SPFEGRFJNJXEIO, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.263,2000-12-10 10:41:33.263,NULL,0.00,0.00,  
41,OLPHANT,ESRSTRHCRNYBHK, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.263,2000-12-10 10:41:33.263,NULL,0.00,0.00,  
42,PAYNTER,LSSSQHEWLX, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.263,2000-12-10 10:41:33.263,NULL,0.00,0.00,  
43,QUINT,ZHMOJ, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.273,2000-12-10 10:41:33.273,NULL,0.00,0.00,  
44,RYAN,XLZQILYM, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.273,2000-12-10 10:41:33.273,NULL,0.00,0.00,  
45,STEIN,BEWRUN, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.283,2000-12-10 10:41:33.283,NULL,0.00,0.00,  
46,TOLSKY,CUSKXHPBNEV, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.283,2000-12-10 10:41:33.283,NULL,0.00,0.00,  
47,UNAKLET,PJBUUVUOHRLIUA, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.293,2000-12-10 10:41:33.293,318,0.00,0.00,  
48,VANN,MSSI, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.293,2000-12-10 10:41:33.293,NULL,0.00,0.00,  
49,WOLFMULE,PICS, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.293,2000-12-10 10:41:33.293,NULL,0.00,0.00,  
50,XAVIER,FSUMDWKRC, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.303,2000-12-10 10:41:33.303,174,0.00,0.00,  
51,YEONG,TPGGGQUPRJYNCS, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.303,2000-12-10 10:41:33.303,NULL,0.00,0.00,  
52,ZUCKER,BWRAE, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.313,2000-12-10 10:41:33.313,NULL,0.00,0.00,  
53,ANDERSON,QXDJOUKGE, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.507,2000-12-10 10:41:33.507,NULL,0.00,0.00,  
54,BARR,YQKHUKDHBANDJO, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.507,2000-12-10 10:41:33.507,NULL,0.00,0.00,  
55,CHEN,GIO, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.517,2000-12-10 10:41:33.517,NULL,0.00,0.00,  
56,DORR,LWNFFXHCUKVTKQ, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.517,2000-12-10 10:41:33.517,467,0.00,0.00,  
57,EFLIN,SUTDGBNEURPDQ, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.527,2000-12-10 10:41:33.527,NULL,0.00,0.00,  
58,FLORINI,VNCXVKSBLWGESO, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.527,2000-12-10 10:41:33.527,NULL,0.00,0.00,  
59,GOHAN,YCDTPEFA, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.537,2000-12-10 10:41:33.537,NULL,0.00,0.00,  
60,HAHN,TVHKU, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.537,2000-12-10 10:41:33.537,436,0.00,0.00,  
61,INFANTE,PFVS, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.547,2000-12-10 10:41:33.547,NULL,0.00,0.00,  
62,JONES,JKHWYUEOPCBHKN, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.547,2000-12-10 10:41:33.547,NULL,0.00,0.00,  
63,KAHRMANN,VPGK, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.557,2000-12-10 10:41:33.557,NULL,0.00,0.00,  
64,LING,ZDNX, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.557,2000-12-10 10:41:33.557,NULL,0.00,0.00,  
65,MAKAI,GFMTXBC, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.557,2000-12-10 10:41:33.557,276,0.00,0.00,  
66,NELSON,NLCDKAUBWGHLAO, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.567,2000-12-10 10:41:33.567,NULL,0.00,0.00,  
67,OLPHANT,ZLIKCFEOHR, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.567,2000-12-10 10:41:33.567,484,0.00,0.00,  
68,PAYNTER,OHYCJK, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.577,2000-12-10 10:41:33.577,NULL,0.00,0.00,  
69,QUINT,OLSVJEIFXCVGM, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.577,2000-12-10 10:41:33.577,NULL,0.00,0.00,  
70,RYAN,QBUZIRPNUSQUYI, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.587,2000-12-10 10:41:33.587,NULL,0.00,0.00,  
71,STEIN,HDMMRWMHBPNFDE, , , ,  ,  ,          , ,1999-10-13 10:41:33.587,2000-12-10 10:41:33.587,NULL,0.00,0.00,  
72,TOLSKY,KBBTNSLR, , , ,  ,  ,          , ,1999-10-13 10:41:33.597,2000-12-10 10:41:33.597,316,0.00,0.00,  
73,UNAKLET,TCJDJYM, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.597,2000-12-10 10:41:33.597,NULL,0.00,0.00,  
74,VANN,ZWYNPAXTXIQMU, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.607,2000-12-10 10:41:33.607,NULL,0.00,0.00,  
75,WOLFMULE,BCOQSYPQYQGAWI, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.607,2000-12-10 10:41:33.607,NULL,0.00,0.00,  
76,XAVIER,ESIFK, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.607,2000-12-10 10:41:33.607,NULL,0.00,0.00,  
77,YEONG,YOZSPX, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.617,2000-12-10 10:41:33.617,NULL,0.00,0.00,  
78,ZUCKER,NZBVTS, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.617,2000-12-10 10:41:33.617,154,0.00,0.00,  
79,ANDERSON,QZHUTFEXHZQ, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.807,2000-12-10 10:41:33.807,NULL,0.00,0.00,  
80,BARR,ZQCIRCMCHSLQ, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.807,2000-12-10 10:41:33.807,NULL,0.00,0.00,  
81,CHEN,OSDAIGBNNSM, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.817,2000-12-10 10:41:33.817,243,0.00,0.00,  
82,DORR,UBRJMBMWQI, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.817,2000-12-10 10:41:33.817,NULL,0.00,0.00,  
83,EFLIN,IQDIJKSNSHC, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.827,2000-12-10 10:41:33.827,NULL,0.00,0.00,  
84,FLORINI,QGMC, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.827,2000-12-10 10:41:33.827,NULL,0.00,0.00,  
85,GOHAN,CDSPKT, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.827,2000-12-10 10:41:33.827,NULL,0.00,0.00,  
86,HAHN,BIBQYJTPDRDU, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.837,2000-12-10 10:41:33.837,NULL,0.00,0.00,  
87,INFANTE,CEBSSOJSYGS, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.837,2000-12-10 10:41:33.837,268,0.00,0.00,  
88,JONES,GUADVALRBIFPSX, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.847,2000-12-10 10:41:33.847,NULL,0.00,0.00,  
89,KAHRMANN,DQKGORWE, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.847,2000-12-10 10:41:33.847,NULL,0.00,0.00,  
90,LING,JAG, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.857,2000-12-10 10:41:33.857,NULL,0.00,0.00,  
91,MAKAI,YCLYIMXFJGWLSX, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.857,2000-12-10 10:41:33.857,NULL,0.00,0.00,  
92,NELSON,RHLYSXQWNVXWJU, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.867,2000-12-10 10:41:33.867,NULL,0.00,0.00,  
93,OLPHANT,RUWXYFXLMTFQBC, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.867,2000-12-10 10:41:33.867,NULL,0.00,0.00,  
94,PAYNTER,ZOJOBTVL, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.877,2000-12-10 10:41:33.877,237,0.00,0.00,  
95,QUINT,HTYDFXSDNOBDHT, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.887,2000-12-10 10:41:33.887,NULL,0.00,0.00,  
96,RYAN,PJYVAREHJWMCGC, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.897,2000-12-10 10:41:33.897,NULL,0.00,0.00,  
97,STEIN,BCJGS, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.897,2000-12-10 10:41:33.897,NULL,0.00,0.00,  
98,TOLSKY,HVKNRYAU, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.907,2000-12-10 10:41:33.907,NULL,0.00,0.00,  
99,UNAKLET,OCDIHPMETIEWJP, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.907,2000-12-10 10:41:33.907,NULL,0.00,0.00,  
100,VANN,HEULBJNUQ, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.917,2000-12-10 10:41:33.917,NULL,0.00,0.00,  
101,WOLFMULE,QHRDYTDAHUERRX, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.917,2000-12-10 10:41:33.917,NULL,0.00,0.00,  
102,XAVIER,ERHBENE, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.917,2000-12-10 10:41:33.917,NULL,0.00,0.00,  
103,YEONG,PHHQGXXDLTE, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.927,2000-12-10 10:41:33.927,NULL,0.00,0.00,  
104,ZUCKER,HULP, , , ,  ,  ,          ,             ,1999-10-13 10:41:33.927,2000-12-10 10:41:33.927,NULL,0.00,0.00,  
105,ANDERSON,MOEZTHBW, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.137,2000-12-10 10:41:34.137,NULL,0.00,0.00,  
106,BARR,ZHHGLRNPMSUQLQ, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.147,2000-12-10 10:41:34.147,132,0.00,0.00,  
107,CHEN,NLPDWQDG, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.147,2000-12-10 10:41:34.147,NULL,0.00,0.00,  
108,DORR,EGKVGJ, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.147,2000-12-10 10:41:34.147,NULL,0.00,0.00,  
109,EFLIN,OSLR, , , ,  ,  ,          , ,1999-10-13 10:41:34.157,2000-12-10 10:41:34.157,NULL,0.00,0.00,  
110,FLORINI,EJMKQMQNFWCQLV, , , ,  ,  ,          , ,1999-10-13 10:41:34.157,2000-12-10 10:41:34.157,NULL,0.00,0.00,  
111,GOHAN,EMQIFTGTDGG, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.167,2000-12-10 10:41:34.167,NULL,0.00,0.00,  
112,HAHN,IYYCUPDYPHPKI, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.167,2000-12-10 10:41:34.167,NULL,0.00,0.00,  
113,INFANTE,LSCTKFJSNCKIYI, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.177,2000-12-10 10:41:34.177,NULL,0.00,0.00,  
114,JONES,HHFSEQZLA, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.177,2000-12-10 10:41:34.177,NULL,0.00,0.00,  
115,KAHRMANN,QLKOM, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.187,2000-12-10 10:41:34.187,NULL,0.00,0.00,  
116,LING,WLTMY, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.187,2000-12-10 10:41:34.187,NULL,0.00,0.00,  
117,MAKAI,ACIPSUM, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.187,2000-12-10 10:41:34.187,NULL,0.00,0.00,  
118,NELSON,TJGKJPTXLSMMEN, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.197,2000-12-10 10:41:34.197,NULL,0.00,0.00,  
119,OLPHANT,QQNARJWCZGKYLG, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.197,2000-12-10 10:41:34.197,NULL,0.00,0.00,  
120,PAYNTER,IETUNHOITJLSEN, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.207,2000-12-10 10:41:34.207,NULL,0.00,0.00,  
121,QUINT,GOTBGYA, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.207,2000-12-10 10:41:34.207,NULL,0.00,0.00,  
122,RYAN,MNNJ, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.217,2000-12-10 10:41:34.217,NULL,0.00,0.00,  
123,STEIN,AROYXULMCOJYGJ, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.217,2000-12-10 10:41:34.217,NULL,0.00,0.00,  
124,TOLSKY,XPQZKXV, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.227,2000-12-10 10:41:34.227,NULL,0.00,0.00,  
125,UNAKLET,TRVLDTQXVRKZXG, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.227,2000-12-10 10:41:34.227,452,0.00,0.00,  
126,VANN,DHTMUHNR, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.237,2000-12-10 10:41:34.237,NULL,0.00,0.00,  
127,WOLFMULE,YGBTMWOLG, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.237,2000-12-10 10:41:34.237,NULL,0.00,0.00,  
128,XAVIER,IKQXPMHPRHV, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.237,2000-12-10 10:41:34.237,NULL,0.00,0.00,  
129,YEONG,CYBIQYOJWLFIH, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.247,2000-12-10 10:41:34.247,NULL,0.00,0.00,  
130,ZUCKER,HDPBEUJUVNIEND, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.247,2000-12-10 10:41:34.247,NULL,0.00,0.00,  
131,ANDERSON,DNHNV, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.447,2000-12-10 10:41:34.447,441,0.00,0.00,  
132,BARR,CDFIUHGYICIMQP, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.447,2000-12-10 10:41:34.447,NULL,0.00,0.00,  
133,CHEN,UGEVVLGSTNADMS, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.457,2000-12-10 10:41:34.457,NULL,0.00,0.00,  
134,DORR,VIOVIKPOYIFSRO, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.467,2000-12-10 10:41:34.467,NULL,0.00,0.00,  
135,EFLIN,KSBHCDJHQBK, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.467,2000-12-10 10:41:34.467,385,0.00,0.00,  
136,FLORINI,ABQBRLZM, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.477,2000-12-10 10:41:34.477,NULL,0.00,0.00,  
137,GOHAN,XWGM, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.477,2000-12-10 10:41:34.477,NULL,0.00,0.00,  
138,HAHN,GJWDKIJGUOXWOB, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.477,2000-12-10 10:41:34.477,NULL,0.00,0.00,  
139,INFANTE,LXRIOIGLSGKL, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.487,2000-12-10 10:41:34.487,449,0.00,0.00,  
140,JONES,KUNOPHKWYVFCNE, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.487,2000-12-10 10:41:34.487,NULL,0.00,0.00,  
141,KAHRMANN,XMRWLDCTIPOUDK, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.497,2000-12-10 10:41:34.497,NULL,0.00,0.00,  
142,LING,HKGBPIUWFEWKR, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.497,2000-12-10 10:41:34.497,NULL,0.00,0.00,  
143,MAKAI,GIEBOBKLRDNDXU, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.507,2000-12-10 10:41:34.507,459,0.00,0.00,  
144,NELSON,QQIRBKXUDRGFFE, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.517,2000-12-10 10:41:34.517,266,0.00,0.00,  
145,OLPHANT,RHZCCXEIQUF, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.517,2000-12-10 10:41:34.517,NULL,0.00,0.00,  
146,PAYNTER,LMEVIKZTGJZRNC, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.527,2000-12-10 10:41:34.527,NULL,0.00,0.00,  
147,QUINT,MWVHFZCQFQHOVB, , , ,  ,  ,          , ,1999-10-13 10:41:34.527,2000-12-10 10:41:34.527,340,0.00,0.00,  
148,RYAN,WYAZURQUYVXU, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.537,2000-12-10 10:41:34.537,NULL,0.00,0.00,  
149,STEIN,IDMRQIBBYXQ, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.537,2000-12-10 10:41:34.537,467,0.00,0.00,  
150,TOLSKY,ELPDJXMEVLJZKJ, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.537,2000-12-10 10:41:34.537,NULL,0.00,0.00,  
151,UNAKLET,NDPBF, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.547,2000-12-10 10:41:34.547,NULL,0.00,0.00,  
152,VANN,ZJRCMAB, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.547,2000-12-10 10:41:34.547,NULL,0.00,0.00,  
153,WOLFMULE,JCXOIPQWLUYMCM, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.557,2000-12-10 10:41:34.557,NULL,0.00,0.00,  
154,XAVIER,SINNBNUSHCOFYB, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.557,2000-12-10 10:41:34.557,NULL,0.00,0.00,  
155,YEONG,NVCQBLZUOEXWUT, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.567,2000-12-10 10:41:34.567,NULL,0.00,0.00,  
156,ZUCKER,VXIDGNDCEHYAQG, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.567,2000-12-10 10:41:34.567,495,0.00,0.00,  
157,ANDERSON,ITZMOIWZGCSQLO, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.747,2000-12-10 10:41:34.747,NULL,0.00,0.00,  
158,BARR,RPFXCNXDSMCDNX, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.757,2000-12-10 10:41:34.757,NULL,0.00,0.00,  
159,CHEN,WFTYVGBXKRK, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.757,2000-12-10 10:41:34.757,NULL,0.00,0.00,  
160,DORR,OHWQ, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.757,2000-12-10 10:41:34.757,NULL,0.00,0.00,  
161,EFLIN,HIKTGICOFEFWLX, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.767,2000-12-10 10:41:34.767,488,0.00,0.00,  
162,FLORINI,AMGTXBCWDJXDU, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.777,2000-12-10 10:41:34.777,NULL,0.00,0.00,  
163,GOHAN,BSIHBLBNXDNS, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.777,2000-12-10 10:41:34.777,NULL,0.00,0.00,  
164,HAHN,PVDTSYYNJ, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.787,2000-12-10 10:41:34.787,299,0.00,0.00,  
165,INFANTE,KPZHRPIDCGJDGB, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.787,2000-12-10 10:41:34.787,155,0.00,0.00,  
166,JONES,RIXYBYKGZROCBC, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.797,2000-12-10 10:41:34.797,NULL,0.00,0.00,  
167,KAHRMANN,OTHXAUYHVMRIXS, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.797,2000-12-10 10:41:34.797,NULL,0.00,0.00,  
168,LING,DKRNLRW, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.807,2000-12-10 10:41:34.807,NULL,0.00,0.00,  
169,MAKAI,FWRTDCV, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.807,2000-12-10 10:41:34.807,NULL,0.00,0.00,  
170,NELSON,VDBJCTSH, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.817,2000-12-10 10:41:34.817,NULL,0.00,0.00,  
171,OLPHANT,JUR, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.817,2000-12-10 10:41:34.817,NULL,0.00,0.00,  
172,PAYNTER,TPTMSTOPEODUED, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.817,2000-12-10 10:41:34.817,NULL,0.00,0.00,  
173,QUINT,TSZRJSZJUQBLCY, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.827,2000-12-10 10:41:34.827,NULL,0.00,0.00,  
174,RYAN,HZNKYYHUTD, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.837,2000-12-10 10:41:34.837,337,0.00,0.00,  
175,STEIN,DCHCGRFF, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.837,2000-12-10 10:41:34.837,NULL,0.00,0.00,  
176,TOLSKY,QVCDRYQQ, , , ,  ,  ,          ,             ,1999-10-13 10:41:34.837,2000-12-10 10:41:34.837,NULL,0.00,0.00,  
